slug,name,page_path,mls_subdivisions,review,sales_total,sales_by_year,variants_added
willow-park,Willow Park,/willow-park.php,willow park,,41,13/11/7/10,0
the-knolls,The Knolls,/the-knolls.php,the knolls,,41,18/10/7/6,0
five-fountains,Five Fountains,/five-fountains.php,five fountains,,40,13/10/7/10,0
whispering-ridge,Whispering Ridge,/whispering-ridge.php,whispering ridge,,40,9/14/8/9,0
keystone,Keystone,/keystone.php,keystone,,40,7/13/9/11,0
ardmore,Ardmore,/ardmore.php,ardmore | ardmore replat,,40,8/9/10/13,1
covington,Covington,/covington.php,covington | covington 2 | covington ii,,39,12/8/10/9,2
copperfields,Copperfields,/copperfields.php,copperfields | copperfields rep 1,,39,7/13/6/13,1
the-villas-of-piney-creek,The Villas Of Piney Creek,/the-villas-of-piney-creek.php,the villas of piney creek,,39,3/7/18/11,0
fairacres,Fairacres,/fairacres.php,fairacres | fairacres add | fairacres addition,,39,13/9/9/8,2
indian-creek,Indian Creek,/indian-creek.php,indian creek,,38,8/7/16/7,0
elk-valley,Elk Valley,/elk-valley.php,elk valley,,38,11/9/13/5,0
brook-park,Brook Park,/brook-park.php,brook park,,38,13/9/10/6,0
rockbrook,Rockbrook,/rockbrook.php,rockbrook,,38,13/6/7/12,0
cedar-hills,Cedar Hills,/cedar-hills.php,cedar hills | cedar hills add,,38,9/8/8/13,1
